248	183	318	257
414	383	242	78
47	194	162	250
464	225	555	213
286	312	401	186
539	113	443	144
400	240	290	57
337	244	303	16
225	365	278	93
138	70	51	153
571	382	519	187
171	76	45	235
65	104	36	216
85	83	138	236
275	292	341	196
555	87	557	383
18	186	4	314
542	168	447	163
327	274	272	64
165	74	63	228
362	50	261	187
17	129	173	81
127	362	24	250
88	294	174	307
83	136	11	145
53	73	42	340
374	94	384	108
326	237	290	111
52	142	17	57
92	128	9	241
266	60	370	259
229	379	403	163
324	184	318	203
115	15	60	283
402	348	349	384
313	159	246	349
4	100	134	255
466	232	560	176
65	368	143	26
76	282	133	50
557	57	583	375
79	310	133	207
78	371	103	75
277	341	286	98
106	354	103	336
223	342	298	161
67	92	77	314
114	320	183	43
100	37	85	211
460	374	483	65
198	316	116	140
522	135	588	31
491	380	565	190
156	10	180	270
343	378	231	64
587	95	589	223
257	152	362	17
308	17	314	194
197	272	145	220
14	189	195	77
412	44	282	237
586	301	497	183
25	261	50	297
142	256	2	20
15	172	59	129
253	263	234	335
50	91	89	173
392	358	399	158
410	23	222	28
106	246	118	368
406	348	375	210
56	55	99	48
18	371	70	55
416	91	297	271
193	65	23	45
117	357	113	61
310	159	236	60
52	38	48	310
2	91	76	15
497	150	507	201
269	191	239	376
454	66	483	136
30	307	198	297
117	284	73	247
480	236	490	14
386	155	419	342
174	310	74	102
48	170	41	217
459	32	555	101
18	300	104	240
140	17	136	188
78	65	176	69
539	24	476	35
123	173	106	319
256	165	227	319
258	172	391	134
472	197	582	234
105	327	7	147
130	211	35	167
190	11	64	191
450	80	548	20
93	345	1	211
476	125	441	232
95	99	9	366
130	199	195	7
35	339	195	183
46	65	27	50
402	91	391	93
31	33	106	313
387	364	327	254
580	343	574	209
552	370	459	13
25	292	62	76
474	84	492	249
244	8	283	337
286	371	321	39
302	242	260	195
112	99	86	51
585	61	528	59
448	381	539	163
458	343	445	142
521	88	535	185
418	170	261	14
411	95	390	73
277	312	274	11
372	287	278	213
101	56	140	376
145	182	127	231
268	53	287	166
102	56	191	324
26	318	156	303
223	122	384	259
162	197	118	72
243	329	290	79
457	209	526	208
12	41	125	293
250	287	369	10
563	194	462	151
565	90	475	101
41	107	73	156
558	228	452	71
60	39	128	179
189	309	96	110
38	184	13	96
146	7	126	43
2	193	199	311
297	134	249	333
508	163	584	328
51	149	171	243
71	50	5	353
322	51	298	380
404	203	302	160
27	236	89	241
11	77	57	381
221	179	222	107
564	156	539	29
581	370	580	251
124	85	19	383
53	199	150	299
393	235	292	319
324	166	227	117
115	157	61	171
92	198	107	317
17	323	108	140
446	187	587	294
105	191	28	357
269	116	228	141
327	46	325	15
557	135	513	163
513	148	469	122
110	99	177	297
35	280	162	44
107	242	129	292
579	305	554	188
5	291	166	88
550	98	486	230
139	302	19	91
158	86	121	194
113	232	36	56
271	137	327	219
363	222	395	132
339	183	397	87
228	159	402	380
519	158	542	115
224	166	226	288
240	300	289	194
514	173	519	87
495	237	555	284
453	131	572	230
472	181	518	41
165	235	84	370
172	93	50	168
283	360	228	105
190	352	114	276
86	125	111	13
283	39	254	181
344	264	418	164
74	25	134	268
396	150	332	204
289	74	393	380
82	135	193	344
260	270	303	75
61	265	194	89
113	266	14	75
99	89	185	67
395	137	362	288
578	366	544	187
525	172	575	131
41	267	98	306
257	317	250	155
503	194	477	213
109	287	116	355
129	315	130	216
108	76	1	276
256	153	234	376
110	47	179	293
507	48	445	101
36	194	139	289
96	93	64	29
528	217	485	22
243	58	302	178
241	384	262	168
297	227	393	229
398	230	230	354
121	8	64	224
581	180	588	178
25	216	6	257
409	206	374	12
78	207	2	201
94	242	102	207
155	232	196	29
105	206	50	66
302	206	351	21
89	166	71	384
581	274	513	182
561	168	566	153
360	380	366	380
410	343	356	29
278	206	288	365
45	341	6	329
107	305	98	205
232	290	354	174
383	156	282	190
507	157	457	194
196	253	11	163
280	134	258	148
21	300	82	237
176	274	85	291
406	362	292	277
507	10	564	200
89	19	158	227
583	99	492	255
399	97	388	186
488	222	451	26
310	196	306	154
379	165	244	322
187	11	198	82
369	255	261	166
368	231	268	302
16	315	70	245
228	378	394	172
570	110	554	367
47	312	143	80
121	179	34	121
120	262	107	41
160	254	79	43
242	120	258	99
128	194	102	214
7	287	45	381
375	71	258	39
526	381	442	113
273	55	282	113
53	53	45	29
4	72	14	269
526	58	540	221
571	7	471	17
54	377	78	233
414	154	335	263
20	252	136	155
110	186	154	240
102	293	70	78
103	322	76	218
527	21	507	150
260	23	248	288
234	22	404	157
110	121	114	91
148	381	192	46
