495,336,510,169
53,371,183,270
7,382,187,72
159,316,172,182
196,74,181,366
271,247,352,303
63,104,186,202
123,103,176,248
291,91,250,152
384,57,355,237
295,119,225,149
499,214,566,285
269,51,267,217
47,245,91,356
228,296,371,341
132,50,109,215
174,13,54,298
408,198,389,56
332,256,405,184
558,129,487,60
503,262,498,143
246,330,299,257
566,244,489,155
334,283,384,353
565,150,573,113
394,280,382,213
284,350,347,219
265,362,401,276
71,197,100,140
464,140,485,285
332,142,342,286
6,96,30,184
58,293,186,281
135,58,100,257
70,253,181,184
501,114,472,70
564,308,589,134
131,260,101,286
222,148,331,291
78,79,184,161
339,336,333,12
412,327,401,127
243,381,379,168
8,90,156,315
466,206,500,317
313,95,356,298
487,381,458,315
142,311,188,143
555,206,538,201
534,185,550,313
378,268,282,149
26,240,69,117
277,153,295,337
326,111,355,337
196,248,134,341
308,203,332,118
183,272,160,313
256,30,355,211
416,50,410,133
94,242,1,320
365,236,288,325
316,22,316,296
584,369,507,143
60,198,109,244
229,366,315,99
270,241,379,17
33,209,101,198
278,189,291,178
87,181,18,102
491,254,521,225
364,19,336,33
38,177,65,89
284,100,224,206
247,95,410,184
557,61,582,144
177,82,25,13
161,30,133,371
68,274,10,327
570,111,546,40
100,357,105,102
90,160,116,300
258,377,241,307
234,286,398,206
230,61,243,241
253,41,251,237
374,195,399,206
476,17,588,119
478,90,544,70
404,319,278,250
541,166,493,270
495,366,466,47
190,354,136,18
51,38,29,38
528,75,537,336
460,127,521,359
237,335,398,323
25,164,71,93
171,373,190,93
403,107,296,76
326,139,286,276
129,307,178,280
446,350,494,372
116,38,8,104
344,369,347,194
504,119,521,204
107,305,189,97
240,240,365,6
559,224,583,350
62,367,170,219
349,235,282,322
511,379,542,243
362,319,406,290
460,6,446,86
346,227,285,147
60,211,134,168
557,93,518,371
94,30,18,11
64,43,118,270
487,85,525,277
6,105,125,329
299,24,398,216
281,244,225,206
165,79,185,46
76,201,197,88
295,381,291,215
131,20,133,291
328,6,229,232
578,258,456,218
29,10,76,254
178,70,155,38
535,29,551,303
290,356,262,289
274,226,273,199
7,151,159,46
476,166,530,56
226,87,369,21
83,224,187,185
343,198,364,25
568,102,484,138
513,64,530,187
572,200,570,44
375,379,382,240
366,18,391,221
515,15,480,143
304,292,367,239
162,225,40,140
403,207,335,141
232,325,383,316
8,87,114,140
132,301,110,364
285,107,298,39
515,214,456,69
103,279,185,198
100,71,143,101
297,12,367,36
140,21,118,15
138,52,92,264
129,29,165,77
317,57,248,45
120,185,158,122
511,51,517,83
1,345,18,203
315,325,231,79
382,19,328,44
314,199,293,29
112,288,140,367
403,39,287,114
585,371,496,85
382,200,360,192
137,126,167,383
151,331,145,251
513,336,527,343
129,175,117,23
198,342,109,263
535,99,586,330
280,112,262,177
527,196,513,78
135,90,142,252
330,336,416,74
34,320,14,91
